Option_ID,Description,isCorrect,Question_ID
opt-1734367216604,10,false,questionID-1734367213924
opt-1734367217329,11,false,questionID-1734367213924
opt-1734367218200,12,true,questionID-1734367213924
opt-1734367219487,15,false,questionID-1734367213924
opt-1734367237687,2,false,questionID-1734367235239
opt-1734367239040,6,false,questionID-1734367235239
opt-1734367239753,5,false,questionID-1734367235239
opt-1734367240306,4,true,questionID-1734367235239
opt-1734367256777,14,false,questionID-1734367252145
opt-1734367257607,12,true,questionID-1734367252145
opt-1734367259942,17,false,questionID-1734367252145
opt-1734367315303,15,false,questionID-1734367252145
opt-1734423609393,2,false,questionID-1734423607371
opt-1734423611079,8,false,questionID-1734423607371
opt-1734423612536,7,true,questionID-1734423607371
opt-1734423614086,1,false,questionID-1734423607371
opt-1734423659864,venus,false,questionID-1734423628150
opt-1734423661640,mars,true,questionID-1734423628150
opt-1734423663665,earth,false,questionID-1734423628150
opt-1734423666621,jupiter,false,questionID-1734423628150
opt-1734423683656,William Shakespeare,true,questionID-1734423676278
opt-1734423701249,Jane Austen,false,questionID-1734423676278
opt-1734423709313,Mark Twain,false,questionID-1734423676278
opt-1734423715285,Charles Dickens,false,questionID-1734423676278
opt-1734423732984,Atlantic Ocean,false,questionID-1734423725709
opt-1734423737108,Indian Ocean,false,questionID-1734423725709
opt-1734423741166,Arctic Ocean,false,questionID-1734423725709
opt-1734423745723,Pacific Ocean,true,questionID-1734423725709
opt-1734423764922,O2,false,questionID-1734423755235
opt-1734423770961,H2O,true,questionID-1734423755235
opt-1734423777453,CO2,false,questionID-1734423755235
opt-1734423783173,NaCl,false,questionID-1734423755235
opt-1734424629464,green,false,questionID-1734424618439
opt-1734424630800,red,false,questionID-1734424618439
opt-1734424632441,yellow,false,questionID-1734424618439
opt-1734424634609,blue,true,questionID-1734424618439
opt-1734424646489,1,false,questionID-1734424645314
opt-1734424646810,2,false,questionID-1734424645314
opt-1734424647299,3,false,questionID-1734424645314
opt-1734424648054,4,true,questionID-1734424645314
opt-1734424657264,67,false,questionID-1734424654600
opt-1734424658917,12,false,questionID-1734424654600
opt-1734424660598,4,true,questionID-1734424654600
opt-1734424662003,1,false,questionID-1734424654600
opt-1734424727336,1,false,questionID-1734424721779
opt-1734424727949,2,false,questionID-1734424721779
opt-1734424728631,3,false,questionID-1734424721779
opt-1734424732713,4,true,questionID-1734424721779
opt-1734424759980,spoon,false,questionID-1734424744317
opt-1734424763373,knife,false,questionID-1734424744317
opt-1734424765692,brush,true,questionID-1734424744317
opt-1734424769224,pen,false,questionID-1734424744317
opt-1734500062140,C-c++-input-output,false,questionID-1734500039027
opt-1734500109797,Inheritance-Polymorphism-Abstraction-Encapsulation,true,questionID-1734500039027
opt-1734500112430,Testing,false,questionID-1734500039027
opt-1734500120263,Overloading,false,questionID-1734500039027
opt-1734500181933,Just virtual Architecture,false,questionID-1734500171520
opt-1734500190884,Java beans,false,questionID-1734500171520
opt-1734500205221,No Abbreviation ,true,questionID-1734500171520
opt-1734500216715,testing,false,questionID-1734500171520
opt-1734500236838,525,false,questionID-1734500233066
opt-1734500238816,425,false,questionID-1734500233066
opt-1734500241933,725,false,questionID-1734500233066
opt-1734500245114,625,true,questionID-1734500233066
opt-1734500323832,9801,true,questionID-1734500260377
opt-1734500326453,99701,false,questionID-1734500260377
opt-1734500333684,10001,false,questionID-1734500260377
opt-1734500342304,12121,false,questionID-1734500260377
opt-1734500368788,34,false,questionID-1734500365695
opt-1734500374246,92,false,questionID-1734500365695
opt-1734500376194,65,true,questionID-1734500365695
opt-1734500379332,91,false,questionID-1734500365695
opt-1734690508888,ohh,false,questionID-1734690463734
opt-1734690562365,nice idea,false,questionID-1734690463734
opt-1734690637774,ok done,false,questionID-1734690463734
opt-1734690675837,good job,true,questionID-1734690463734
